Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$123.00,0.85,0.696%,2132492820000.00,United States,1980,74951179,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$483.34,7.97,1.677%,231677231637.00,United States,1986,2664011,Technology,Computer Software: Prepackaged Software
AMZN,Amazon.com Inc. Common Stock,$3161.00,66.92,2.163%,1591768152623.00,United States,1997,2935172,Consumer Services,Catalog/Specialty Distribution
ASML,ASML Holding N.V. New York Registry Shares,$637.10,19.74,3.197%,265361091061.00,Netherlands,1995,1907621,Technology,Industrial Machinery/Components
CMCSA,Comcast Corporation Class A Common Stock,$54.75,0.64,1.183%,250790925417.00,United States,,16664803,Consumer Services,Television Services
CSCO,Cisco Systems Inc. Common Stock (DE),$51.98,0.27,0.522%,219448412733.00,United States,1990,17891908,Technology,Computer Communications Equipment
FB,Facebook Inc. Class A Common Stock,$298.66,4.13,1.402%,850671089121.00,United States,2012,17589580,Technology,Computer Software: Programming Data Processing
GOOG,Alphabet Inc. Class C Capital Stock,$2137.75,69.12,3.341%,1441135655604.00,United States,2004,1698389,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$2129.78,67.26,3.261%,1435762786384.00,United States,,1993122,Technology,Computer Software: Programming Data Processing
INTC,Intel Corporation Common Stock,$64.55,0.55,0.859%,262266650000.00,United States,,31404571,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$242.35,6.58,2.791%,1827855991132.00,United States,1986,30311846,Technology,Computer Software: Prepackaged Software
NFLX,Netflix Inc. Common Stock,$539.42,17.76,3.405%,238906561689.00,United States,2002,3936131,Consumer Services,Consumer Electronics/Video Chains
NVDA,NVIDIA Corporation Common Stock,$552.47,18.54,3.472%,342531400000.00,United States,1999,7693754,Technology,Semiconductors
PYPL,PayPal Holdings Inc. Common Stock,$247.54,4.70,1.935%,289912847630.00,United States,,6985972,Miscellaneous,Business Services
TSLA,Tesla Inc. Common Stock,$661.75,-6.18,-0.925%,635183056272.00,United States,2010,35204933,Capital Goods,Auto Manufacturing
